City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,72.12,67,20,5.75,few clouds
1,Castro,BR,-24.7911,-50.0119,62.37,99,67,6.46,broken clouds
2,Boa Vista,BR,2.8197,-60.6733,75.18,83,75,1.14,broken clouds
3,Kastamonu,TR,41.5,33.6667,41.02,97,100,4.14,overcast clouds
4,Oranjestad,AW,12.524,-70.027,78.91,86,20,14.97,few clouds
5,Tasiilaq,GL,65.6145,-37.6368,1.56,48,0,3.6,clear sky
6,Khash,IR,28.2211,61.2158,55.24,68,79,3.69,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,78.04,72,25,10.96,scattered clouds
8,Dawlatabad,AF,36.4141,64.9053,44.53,80,95,4.63,overcast clouds
9,East London,ZA,-33.0153,27.9116,74.34,73,75,10.36,broken clouds
10,Ziro,IN,27.6333,93.8333,38.14,76,98,0.78,overcast clouds
11,Shalya,RU,57.2471,58.7298,2.5,97,26,1.95,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,75,75,20.71,broken clouds
13,Ostrovnoy,RU,68.0531,39.5131,18.79,87,85,20.54,overcast clouds
14,Smithers,CA,54.7804,-127.1743,26.92,100,100,3.44,light snow
15,Leninskoye,KZ,41.7589,69.3864,39.72,58,99,1.43,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,67.08,87,100,18.41,overcast clouds
17,Itoman,JP,26.1247,127.6694,70.57,62,20,17.27,few clouds
18,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,0,6.29,clear sky
19,Kulachi,PK,31.9286,70.4592,67.1,33,89,2.24,overcast clouds
20,Gizo,SB,-8.103,156.8419,85.55,69,100,12.12,overcast clouds
21,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,1.14,light rain and snow
22,Punta Arenas,CL,-53.15,-70.9167,46.51,66,20,28.77,few clouds
23,Meulaboh,ID,4.1363,96.1285,83.8,67,100,3.33,light rain
24,Port Alfred,ZA,-33.5906,26.891,73.18,82,98,7.0,overcast clouds
25,Geraldton,AU,-28.7667,114.6,91.81,27,0,24.16,clear sky
26,Tonj,SS,7.2737,28.6822,72.91,23,74,7.4,broken clouds
27,Vardo,NO,70.3705,31.1107,21.18,73,100,21.85,overcast clouds
28,Lethem,GY,3.3803,-59.7968,73.71,85,63,8.48,broken clouds
29,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.47,100,100,0.85,overcast clouds
30,Qaanaaq,GL,77.484,-69.3632,-11.92,98,100,1.32,overcast clouds
31,Busselton,AU,-33.65,115.3333,78.35,36,0,8.43,clear sky
32,Koundara,GN,12.4833,-13.3,72.48,36,91,1.97,overcast clouds
33,Xining,CN,36.6167,101.7667,25.03,27,36,3.13,scattered clouds
34,Mount Isa,AU,-20.7333,139.5,91.17,46,82,6.91,broken clouds
35,Constantine,DZ,36.365,6.6147,38.61,75,0,1.14,clear sky
36,Avarua,CK,-21.2078,-159.775,78.85,83,40,6.91,scattered clouds
37,Bluff,NZ,-46.6,168.3333,61.88,78,3,10.33,clear sky
38,Albany,US,42.6001,-73.9662,27.03,74,49,2.93,scattered clouds
39,Carnarvon,AU,-24.8667,113.6333,94.41,33,55,19.77,broken clouds
40,Narsaq,GL,60.9167,-46.05,16.02,73,91,7.61,overcast clouds
41,Jamestown,US,42.097,-79.2353,28.71,89,100,16.11,overcast clouds
42,Vilyuysk,RU,63.7553,121.6247,3.97,93,100,7.45,overcast clouds
43,Pueblo Nuevo,MX,23.3833,-105.3833,45.54,46,0,6.22,clear sky
44,Prieska,ZA,-29.6641,22.7474,83.8,16,1,5.86,clear sky
45,Klyuchi,RU,52.2667,79.1667,12.81,93,37,7.4,scattered clouds
46,Tiksi,RU,71.6872,128.8694,-15.74,100,99,2.06,overcast clouds
47,Mahibadhoo,MV,3.7833,72.9667,80.94,73,94,2.35,overcast clouds
48,Pasighat,IN,28.0667,95.3333,69.64,42,42,4.16,scattered clouds
49,Carballo,ES,43.213,-8.691,58.01,91,98,10.92,overcast clouds
50,Saint Anthony,US,45.0205,-93.218,28.33,80,0,16.11,clear sky
51,Iqaluit,CA,63.7506,-68.5145,2.93,78,0,0.0,clear sky
52,Chuy,UY,-33.6971,-53.4616,63.91,71,100,6.2,overcast clouds
53,Northallerton,GB,54.339,-1.4324,47.1,78,100,14.97,overcast clouds
54,Rafai,CF,4.95,23.9167,68.72,31,97,5.17,overcast clouds
55,Bethel,US,41.3712,-73.414,32.49,72,100,3.44,overcast clouds
56,Campbellton,CA,48.0075,-66.6727,5.45,83,24,7.16,few clouds
