City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sokoni,TZ,2022-12-27 03:45:25,-6.4333,39.55,80.96,77,100,10.96
1,Ushuaia,AR,2022-12-27 03:45:26,-54.8,-68.3,38.86,93,100,24.16
2,Guerrero Negro,MX,2022-12-27 03:45:26,27.9769,-114.0611,63.7,51,0,6.24
3,Esperance,AU,2022-12-27 03:45:27,-33.8667,121.9,68.04,65,50,23.89
4,Bonthe,SL,2022-12-27 03:45:27,7.5264,-12.505,76.91,77,4,0.98
5,Khatanga,RU,2022-12-27 03:45:28,71.9667,102.5,-35.81,100,68,5.5
6,Coquimbo,CL,2022-12-27 03:45:28,-29.9533,-71.3436,62.33,67,0,2.3
7,Tiksi,RU,2022-12-27 03:45:28,71.6872,128.8694,-14.89,97,100,6.44
8,Touros,BR,2022-12-27 03:45:29,-5.1989,-35.4608,77.74,81,50,10.2
9,Bluff,NZ,2022-12-27 03:45:29,-46.6,168.3333,56.52,71,39,15.32
10,Tual,ID,2022-12-27 03:45:30,-5.6667,132.75,80.53,83,100,26.84
11,Albany,US,2022-12-27 03:44:37,42.6001,-73.9662,24.46,65,100,3.87
12,New Norfolk,AU,2022-12-27 03:45:31,-42.7826,147.0587,91.89,29,73,4.0
13,Punta Arenas,CL,2022-12-27 03:45:31,-53.15,-70.9167,42.91,70,40,27.63
14,Hamina,FI,2022-12-27 03:45:31,60.5697,27.1979,18.68,84,86,20.22
15,Broken Hill,AU,2022-12-27 03:45:32,-31.95,141.4333,96.87,16,0,15.93
16,Komsomolskiy,UZ,2022-12-27 03:45:32,40.4272,71.7189,23.72,86,28,4.61
17,Saskylakh,RU,2022-12-27 03:45:33,71.9167,114.0833,-35.54,100,28,4.12
18,Port Alfred,ZA,2022-12-27 03:45:33,-33.5906,26.891,61.18,95,1,12.93
19,Kaitangata,NZ,2022-12-27 03:45:34,-46.2817,169.8464,57.78,76,87,7.38
20,Hermanus,ZA,2022-12-27 03:45:34,-34.4187,19.2345,64.63,86,3,2.82
21,Puerto Ayora,EC,2022-12-27 03:45:35,-0.7393,-90.3518,73.54,94,60,3.0
22,Dunedin,NZ,2022-12-27 03:45:35,-45.8742,170.5036,59.81,85,55,1.01
23,Avarua,CK,2022-12-27 03:45:36,-21.2078,-159.775,82.45,69,40,10.36
24,Olafsvik,IS,2022-12-27 03:45:36,64.8945,-23.7142,25.36,92,100,23.76
25,Pitimbu,BR,2022-12-27 03:45:37,-7.4706,-34.8086,77.59,77,53,8.86
26,Vila,PT,2022-12-27 03:45:37,42.0304,-8.1588,43.7,94,80,2.57
27,Srednekolymsk,RU,2022-12-27 03:45:38,67.45,153.6833,-12.05,98,100,9.55
28,Ahipara,NZ,2022-12-27 03:45:38,-35.1667,173.1667,72.34,67,6,8.88
29,Barrow,US,2022-12-27 03:45:39,71.2906,-156.7887,-7.58,71,0,18.41
30,Ribeira Grande,PT,2022-12-27 03:45:39,38.5167,-28.7,60.78,74,66,14.0
31,Rawson,AR,2022-12-27 03:45:40,-43.3002,-65.1023,61.72,63,91,21.23
32,Jamestown,US,2022-12-27 03:42:05,42.097,-79.2353,18.99,80,100,12.66
33,Busselton,AU,2022-12-27 03:45:40,-33.65,115.3333,74.25,40,3,13.4
